,SMILES,IC50_nM
68,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1,11.0
69,CN1CCN(c2ccc(-c3cnc4c(c3)N(S(=O)(=O)c3cc(F)ccc3F)CCN4)cn2)CC1,465.0
70,CN1CCN(c2ccc(-c3cnc4c(c3)N(C(=O)Cc3cc(F)ccc3F)CCN4)cn2)CC1,10000.0
71,CN1CCN(c2ccc(-c3cnc4c(c3)C(Oc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1,10000.0
72,CN1CCN(c2ccc(-c3cnc4c(c3)C(Cc3cc(F)ccc3F)CCN4)cn2)CC1,1538.0
73,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4C)cn2)CC1,3000.0
74,CCOC(=O)c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1,
75,O=C(O)c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1,
76,O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCCCC1,
77,COC1CCN(C(=O)c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cc2)CC1,450.0
78,O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCC(N2CCCC2)CC1,250.0
79,FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21,150.0
80,CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1,250.0
81,CCOC(=O)c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1,3000.0
82,O=C(O)c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1,1302.0
83,O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCCCC1,121.0
84,COC1CCN(C(=O)c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cc2)CC1,40.0
85,O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCC(N2CCCC2)CC1,10.0
86,FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21,10.0
87,CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1,17.0
88,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1,200.0
89,N#Cc1c(SCC(=O)c2ccccc2)nc2c(c1-c1ccsc1)CCCC2,35000.0
90,N#Cc1c(N)nc(SCC(=O)c2ccccc2)c(C#N)c1-c1ccsc1,1700.0
91,N#Cc1c(N)nc(SCC(=O)c2ccc(Cl)cc2)c(C#N)c1-c1ccsc1,9700.0
92,N#Cc1c(SCc2ccc(F)cc2)nc2c(c1-c1cccs1)CCCC2,4000.0
93,N#Cc1c(SCc2ccccc2)nc2c(c1-c1cccs1)CCCC2,2100.0
94,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,
95,O=C1NCCc2[nH]c(-c3ccncc3)cc21,10000.0
96,CC(C)c1n[nH]c(Cl)c1-c1ccnc(Nc2ccc(N3CCC(N(C)C)CC3)cn2)n1,10000.0
97,CC(C)c1n[nH]c(C(F)(F)F)c1-c1ccnc(Nc2ccc(N3CCC(N(C)C)CC3)cn2)n1,10000.0
98,CCN(C)C(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(CN2CCCCC2)cc1)c1ccccc1,4000.0
99,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,10000.0
100,C=Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCN(C)CC4)ccc3OC(F)(F)F)ncc1CC2,2375.0
101,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1,10000.0
102,Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCNCC4)ccc3OC(F)(F)F)ncc1CC2,10000.0
103,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCF)CC4)c2)CC1,10000.0
104,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,5.0
105,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccc(N3CCOCC3)cc2OC)n1,4.0
106,CCN1C(=O)CCCc2c1ccc(Nc1ncc(Cl)c(Nc3ccc(N4CCOCC4)cc3OC)n1)c2OC,34.0
107,COCCN1CCc2cc(Nc3ncc(Cl)c(Nc4ccc(N5CCOCC5)cc4OC)n3)c(OC)cc2CC1,7.0
108,COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccc(N4CCOCC4)cc3OC)n1)CCN(CC(F)F)CC2,58.0
109,COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccc(N4CCOCC4)cc3OC)n1)CCN(CCS(C)(=O)=O)CC2,10.0
110,COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccc(N4CCOCC4)cc3OC)n1)CCN(CC(=O)N(C)C)CC2,4.0
111,COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccc(N4CCOCC4)cc3)n1)CCN(CC(=O)N(C)C)CC2,49.0
112,COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccccc3OC)n1)CCN(CC(=O)N(C)C)CC2,4.0
113,COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccc(C(N)=O)cc3OC)n1)CCN(CC(=O)N(C)C)CC2,6.0
114,CNC(=O)CN1CCc2cc(Nc3ncc(Cl)c(Nc4ccc(N5CCOCC5)cc4OC)n3)c(OC)cc2CC1,6.0
115,COCCOc1ccc(Nc2nc(Nc3cc4c(cc3OC)CCN(CC(=O)N(C)C)CC4)ncc2Cl)c(OC)c1,4.0
116,COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccc(C#N)cc3OC)n1)CCN(CC(=O)N(C)C)CC2,7.0
117,COc1ccc(Nc2nc(Nc3cc4c(cc3OC)CCN(CC(=O)N(C)C)CC4)ncc2Cl)c(OC)c1,5.0
118,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,50.0
119,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccc(N3CCOCC3)cc2OC)n1,120.0
120,CCN1C(=O)CCCc2c1ccc(Nc1ncc(Cl)c(Nc3ccc(N4CCOCC4)cc3OC)n1)c2OC,175.0
121,COCCN1CCc2cc(Nc3ncc(Cl)c(Nc4ccc(N5CCOCC5)cc4OC)n3)c(OC)cc2CC1,150.0
122,COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccc(N4CCOCC4)cc3OC)n1)CCN(CCS(C)(=O)=O)CC2,100.0
123,COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccc(N4CCOCC4)cc3OC)n1)CCN(CC(=O)N(C)C)CC2,30.0
124,COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccccc3OC)n1)CCN(CC(=O)N(C)C)CC2,65.0
125,COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccc(C(N)=O)cc3OC)n1)CCN(CC(=O)N(C)C)CC2,65.0
126,CNC(=O)CN1CCc2cc(Nc3ncc(Cl)c(Nc4ccc(N5CCOCC5)cc4OC)n3)c(OC)cc2CC1,100.0
127,COCCOc1ccc(Nc2nc(Nc3cc4c(cc3OC)CCN(CC(=O)N(C)C)CC4)ncc2Cl)c(OC)c1,40.0
128,COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccc(C#N)cc3OC)n1)CCN(CC(=O)N(C)C)CC2,65.0
129,COc1ccc(Nc2nc(Nc3cc4c(cc3OC)CCN(CC(=O)N(C)C)CC4)ncc2Cl)c(OC)c1,40.0
130,COc1cc(O)c2c(c1)CCC[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O,763.0
131,COc1cc(O)c2c(c1)CCC[C@H](O)CC(=O)/C=C\C[C@H](C)OC2=O,763.0
132,COc1cc(O)c2c(c1)CCC[C@H](O)CC(=O)/C=C/C[C@H](C)OC2=O,10000.0
